IP,Port,Type
165.16.2.255,1981,proxy
165.16.67.218,1981,proxy
102.68.130.130,8080,proxy
165.16.80.98,1981,proxy
102.68.129.30,8080,proxy
154.73.108.173,1981,proxy
154.73.30.131,50800,proxy
165.16.58.124,8080,proxy
165.16.73.244,8080,proxy
102.68.134.130,6666,proxy
169.239.92.1,8080,proxy
102.68.132.227,8080,proxy
154.127.79.192,8080,proxy
165.16.23.14,8080,proxy
154.127.79.193,8080,proxy
102.68.135.21,8080,proxy
154.127.79.182,8080,proxy
102.69.32.1,8080,proxy
165.16.30.211,8080,proxy
165.16.22.130,8080,proxy
165.16.22.134,8080,proxy
165.16.46.215,8080,proxy
165.16.22.162,8080,proxy
165.16.45.62,7777,proxy
102.68.134.133,6666,proxy
154.127.73.85,8080,proxy
165.16.96.92,8080,proxy
165.16.58.35,8080,proxy
165.16.32.1,8080,proxy
165.16.96.91,8080,proxy
41.254.48.29,8080,proxy
165.16.34.1,8080,proxy
154.127.79.191,8080,proxy
165.16.45.61,7777,proxy
169.239.92.81,8080,proxy
165.16.30.217,8080,proxy
165.16.54.235,7777,proxy
154.127.79.65,8080,proxy
165.16.96.93,8080,proxy
165.16.30.214,8080,proxy
62.68.36.98,8080,proxy
165.16.2.154,9999,proxy
165.16.22.138,9999,proxy
154.127.79.248,8080,proxy
165.16.22.130,9999,proxy
165.16.30.215,8080,proxy
154.127.79.199,8080,proxy
165.16.2.146,9999,proxy
160.19.102.98,8080,proxy
165.16.22.134,9999,proxy
102.68.134.4,8080,proxy
154.73.53.186,8080,proxy
165.16.109.50,8080,proxy
165.16.25.18,9999,proxy
165.16.25.62,9999,proxy
165.16.25.42,9999,proxy
165.16.118.206,8080,proxy
41.254.46.102,8080,proxy
41.254.46.104,1973,proxy
41.254.46.104,8080,proxy
62.68.37.56,8080,proxy
165.16.62.123,8080,proxy
41.254.59.135,8080,proxy
41.254.46.108,8080,proxy
41.254.46.106,8080,proxy
41.254.46.107,8080,proxy
62.68.43.66,8080,proxy
41.254.47.196,8080,proxy
154.73.108.81,53281,proxy
165.16.37.73,8080,proxy
154.73.109.9,53281,proxy
154.73.108.173,53281,proxy
41.254.46.112,8080,proxy
154.73.109.84,53281,proxy
165.16.25.58,9999,proxy
165.16.77.49,8080,proxy
41.254.46.101,8080,proxy
154.73.109.121,53281,proxy
41.254.46.103,8080,proxy
154.73.109.129,53281,proxy
165.16.80.66,80,proxy
165.16.22.247,8080,proxy
154.73.108.49,53281,proxy
165.16.80.67,1981,proxy
62.68.43.67,8080,proxy
165.16.80.67,8080,proxy
102.68.133.78,8080,proxy
165.16.60.1,8080,proxy
165.16.58.1,8080,proxy
102.68.134.250,8080,proxy
102.68.130.162,8080,proxy
41.254.44.241,58690,proxy
170.245.132.38,999,proxy
190.104.146.244,999,proxy
200.85.42.194,999,proxy
143.255.142.80,8080,proxy
177.250.173.155,8080,proxy
181.40.122.102,8080,proxy
190.128.225.117,999,proxy
190.52.129.39,8080,proxy
201.217.12.212,8080,proxy
190.93.179.125,8080,proxy
200.3.254.94,999,proxy
45.235.120.254,999,proxy
181.40.90.26,999,proxy
181.40.80.177,999,proxy
45.235.120.6,999,proxy
201.217.49.2,80,proxy
181.40.80.181,999,proxy
177.250.113.15,8080,proxy
200.85.35.250,8080,proxy
186.16.206.222,999,proxy
186.16.206.221,999,proxy
45.235.122.170,999,proxy
177.250.198.63,8080,proxy
186.16.206.218,999,proxy
45.179.193.122,999,proxy
190.52.160.232,999,proxy
177.250.163.212,8080,proxy
177.250.129.86,8080,proxy
143.255.143.202,11111,proxy
186.16.206.219,999,proxy
190.128.230.58,3128,proxy
45.160.32.140,8080,proxy
177.250.112.240,8080,proxy
45.179.193.77,999,proxy
138.99.103.63,999,proxy
45.179.193.159,999,proxy
200.85.33.122,999,proxy
177.250.109.7,8080,proxy
190.128.150.186,8080,proxy
45.179.193.81,999,proxy
45.179.193.144,999,proxy
45.235.120.225,999,proxy
45.235.123.18,999,proxy
201.217.52.102,53281,proxy
45.179.193.171,999,proxy
45.179.193.174,999,proxy
45.179.193.175,999,proxy
190.128.218.54,999,proxy
177.250.188.188,8080,proxy
45.179.193.173,999,proxy
177.250.183.83,8080,proxy
186.16.14.191,999,proxy
45.179.193.140,999,proxy
177.250.136.179,8080,proxy
190.104.142.78,8080,proxy
201.217.4.101,53281,proxy
45.179.193.74,999,proxy
177.250.117.13,8080,proxy
45.179.193.70,999,proxy
170.83.242.2,8080,proxy
190.83.114.9,999,proxy
177.250.183.91,8080,proxy
177.250.170.150,8080,proxy
177.250.207.101,8080,proxy
177.250.136.221,8080,proxy
45.184.111.211,8080,proxy
177.250.194.211,8080,proxy
177.250.59.231,8080,proxy
190.23.224.176,8080,proxy
45.179.193.86,999,proxy
177.250.202.161,8080,proxy
177.250.112.170,8080,proxy
177.250.169.148,8080,proxy
45.184.111.212,8080,proxy
143.255.143.178,8080,proxy
45.184.111.213,8080,proxy
143.255.142.53,8080,proxy
190.23.208.182,8080,proxy
181.126.88.114,8080,proxy
190.211.241.148,8081,proxy
190.93.176.8,8080,proxy
177.250.168.36,8080,proxy
177.250.145.108,8080,proxy
177.250.201.64,8080,proxy
177.250.182.105,8080,proxy
177.250.104.239,8080,proxy
177.250.94.10,8080,proxy
177.250.176.168,8080,proxy
45.177.16.133,999,proxy
45.177.16.137,999,proxy
190.23.111.247,8080,proxy
190.23.45.39,8080,proxy
45.177.16.136,999,proxy
177.250.165.241,8080,proxy
45.177.16.135,999,proxy
45.177.16.132,999,proxy
190.23.91.242,8080,proxy
190.23.87.183,8080,proxy
131.161.254.150,3128,proxy
190.104.135.92,8080,proxy
45.177.16.134,999,proxy
45.177.16.131,999,proxy
45.177.16.130,999,proxy
190.23.124.160,8080,proxy
190.23.64.112,8080,proxy
177.250.218.133,8080,proxy
45.177.16.129,999,proxy
190.23.17.150,8080,proxy
190.23.122.147,8080,proxy
45.170.129.53,8080,proxy
131.196.192.85,8080,proxy
190.93.176.70,8080,proxy
190.23.240.133,8080,proxy
190.104.148.250,8080,proxy
